ticker;filing_day;filedAt;entry_datetime;entry_price;entry_price_news;kind;horizon_days;ret_open_%;ret_news_%;exit_open_price;exit_news_price
STGW;2024-02-28;2024-02-28T19:48:08-05:00;2024-02-29 09:30;5.2;5.25;high;30;19.9;18.76;6.2348;6.2349
STGW;2024-02-28;2024-02-28T19:48:08-05:00;2024-02-29 09:30;5.2;5.25;low;30;-1.15;-2.1;5.1402;5.1398
STGW;2024-02-28;2024-02-28T19:48:08-05:00;2024-02-29 09:30;5.2;5.25;mean;30;10.42;9.36;5.7416125;5.7416125
STGW;2024-02-28;2024-02-28T19:48:08-05:00;2024-02-29 09:30;5.2;5.25;high;60;39.42;38.1;7.2498;7.2503
STGW;2024-02-28;2024-02-28T19:48:08-05:00;2024-02-29 09:30;5.2;5.25;low;60;-1.15;-2.1;5.1402;5.1398
STGW;2024-02-28;2024-02-28T19:48:08-05:00;2024-02-29 09:30;5.2;5.25;mean;60;17.06;15.95;6.087342500000001;6.087342500000001
STGW;2024-02-28;2024-02-28T19:48:08-05:00;2024-02-29 09:30;5.2;5.25;high;90;39.42;38.1;7.2498;7.2503
STGW;2024-02-28;2024-02-28T19:48:08-05:00;2024-02-29 09:30;5.2;5.25;low;90;-1.15;-2.1;5.1402;5.1398
STGW;2024-02-28;2024-02-28T19:48:08-05:00;2024-02-29 09:30;5.2;5.25;mean;90;20.93;19.78;6.288348275862069;6.288348275862069
OVLY;2024-02-28;2024-02-28T12:32:41-05:00;2024-02-28 12:47;24.25;24.25;high;1;3.63;3.63;25.1303;25.1303
OVLY;2024-02-28;2024-02-28T12:32:41-05:00;2024-02-28 12:47;24.25;24.25;low;1;-1.94;-1.94;23.7796;23.7796
OVLY;2024-02-28;2024-02-28T12:32:41-05:00;2024-02-28 12:47;24.25;24.25;mean;1;0.94;0.94;24.4775;24.4775
OVLY;2024-02-28;2024-02-28T12:32:41-05:00;2024-02-28 12:47;24.25;24.25;high;2;3.63;3.63;25.1303;25.1303
